fio,birthdate,group,gpa
Ivan Anderson,2004-01-23,Group 4,2.97
Mia Brown,2006-04-21,Group 3,2.25
Liam Moore,2003-03-29,Group 4,2.25
Frank Martin,2007-07-27,Group 3,2.08
Olivia Clark,2007-03-10,Group 4,2.75
Frank Clark,2005-07-18,Group 3,3.64
Liam Wilson,2003-05-03,Group 2,3.45
Charlie Robinson,2001-04-15,Group 3,2.48
Charlie Williams,2002-11-17,Group 1,3.78
Grace Anderson,2005-08-26,Group 1,2.44
Judy Martinez,2001-04-16,Group 2,2.85
Alice Martin,2004-11-03,Group 5,3.14
Mia Clark,2005-02-20,Group 4,3.37
Noah Wilson,2001-04-24,Group 3,2.62
Frank Miller,2007-08-30,Group 4,2.39
Sam Wilson,2003-05-15,Group 3,3.87
Liam Martinez,2002-10-19,Group 5,3.94
Peter Moore,2002-12-24,Group 1,2.9
Olivia Davis,2003-10-20,Group 4,3.35
Diana Taylor,2005-05-24,Group 3,3.33
Charlie White,2007-07-02,Group 3,2.6
Noah Moore,2001-01-07,Group 2,2.27
Rachel Miller,2005-02-27,Group 5,3.91
Noah Anderson,2000-12-09,Group 3,3.22
Tina Garcia,2003-01-15,Group 4,2.24
Sam Smith,2001-11-03,Group 2,3.55
Grace Anderson,2005-02-26,Group 2,2.17
Bob Thompson,2005-10-15,Group 2,3.08
Grace Smith,2003-10-23,Group 3,2.82
Charlie Garcia,2006-12-09,Group 4,2.21
Bob Smith,2002-12-13,Group 4,2.05
Eve Brown,2007-11-07,Group 3,2.56
Alice Miller,2001-07-14,Group 1,3.99
Frank Thomas,2006-10-05,Group 3,2.88
Sam Williams,2001-03-05,Group 4,3.86
Grace Martin,2002-07-29,Group 3,3.15
Charlie Davis,2004-04-07,Group 2,3.34
Grace Davis,2003-07-25,Group 1,3.87
Ivan Smith,2003-11-02,Group 3,3.66
Kevin Harris,2004-10-12,Group 2,2.5
Diana Miller,2006-12-25,Group 5,2.15
Judy Brown,2001-10-17,Group 4,2.79
Diana Jackson,2002-06-21,Group 5,3.59
Noah Williams,2005-01-24,Group 4,3.61
Rachel Robinson,2006-02-26,Group 4,2.9
Noah Brown,2004-04-17,Group 5,3.09
Rachel White,2004-12-02,Group 3,2.02
Ivan Miller,2001-05-04,Group 3,3.26
Sam Thomas,2003-04-27,Group 5,3.72
Judy Martinez,2001-12-12,Group 4,2.61
Eve Smith,2002-06-01,Group 5,2.65
Tina Harris,2002-08-31,Group 2,2.16
Heidi Moore,2002-04-04,Group 5,3.96
Heidi Martinez,2003-01-15,Group 1,3.84
Bob Robinson,2005-09-17,Group 4,3.02
Liam Jackson,2005-11-08,Group 2,2.47
Judy Clark,2002-12-14,Group 5,3.46
Mia Anderson,2007-04-17,Group 2,3.61
Mia Jones,2001-04-23,Group 2,2.5
Judy Jones,2001-11-14,Group 4,3.19
Peter Davis,2005-07-15,Group 3,3.74
Peter Harris,2005-07-15,Group 4,4.12
